method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
byte_tcn_fusion,8100,behavior14,44,clean,0.9551910382076415,0.9532245164086021,0.9522835709924204,0.9551910382076415,0.003616812003868035,206.01815128326416
byte_tcn_fusion,8100,behavior14,44,random_padding:medium,0.8147629525905181,0.8930231884806518,0.8368355133699963,0.8147629525905181,0.01436574736124195,206.01815128326416
byte_tcn_fusion,8100,behavior14,44,random_delay:medium,0.9551910382076415,0.9532245164086021,0.9522835709924204,0.9551910382076415,0.003616812003868035,206.01815128326416
byte_tcn_fusion,8100,behavior14,44,traffic_shaping:medium,0.9553910782156432,0.9534736000264831,0.9524853425245988,0.9553910782156432,0.003596605901625157,206.01815128326416
byte_tcn_fusion,8100,behavior14,44,combined:medium,0.8145629125825165,0.8939194197899744,0.8365522196777299,0.8145629125825165,0.01435454856153906,206.01815128326416
