method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
segment_attention,8100,behavior14,42,clean,0.9363872774554911,0.9352548033954385,0.9328738358381655,0.9363872774554911,0.005635196773497349,42.73791480064392
segment_attention,8100,behavior14,42,random_padding:medium,0.11402280456091218,0.5086474880411492,0.13600157628308346,0.11402280456091218,0.06660820274667954,42.73791480064392
segment_attention,8100,behavior14,42,random_delay:medium,0.9363872774554911,0.9352548033954385,0.9328738358381655,0.9363872774554911,0.005635196773497349,42.73791480064392
segment_attention,8100,behavior14,42,traffic_shaping:medium,0.9363872774554911,0.9352548033954385,0.9328738358381655,0.9363872774554911,0.005635196773497349,42.73791480064392
segment_attention,8100,behavior14,42,combined:medium,0.11602320464092819,0.5264685615225418,0.1378134671411812,0.11602320464092819,0.06641107800475872,42.73791480064392
