round_id,round,method,size,task,seed,accuracy,precision,f1,recall,fpr
round1,Round 1: per-pcap stats + session split,ande,4096,behavior14,42,0.9891663606316564,0.9891063816043126,0.9890447103397192,0.9891663606316564,0.0009075524100683
round1,Round 1: per-pcap stats + session split,ande,4096,binary2,42,0.9989900844656628,0.99899097516174,0.9989904889825192,0.9989900844656628,0.004542849748595
round1,Round 1: per-pcap stats + session split,ande,784,behavior14,42,0.9899926551597504,0.9899541107760162,0.9899278465012482,0.9899926551597504,0.0008550180519601
round1,Round 1: per-pcap stats + session split,ande,784,binary2,42,0.9996327579875136,0.999632498091797,0.999632462993529,0.9996327579875136,0.0025995452528837
round1,Round 1: per-pcap stats + session split,ande,8100,behavior14,42,0.9928387807565184,0.9930445217226044,0.992845091856858,0.9928387807565184,0.0005388674622656
round1,Round 1: per-pcap stats + session split,ande,8100,behavior14,42,0.9897172236503856,0.989773677411881,0.9896096905542958,0.9897172236503856,0.0008376882839824
round1,Round 1: per-pcap stats + session split,ande,8100,behavior14,42,0.9897172236503856,0.989773677411881,0.9896096905542958,0.9897172236503856,0.0008376882839824
round1,Round 1: per-pcap stats + session split,ande,8100,binary2,42,0.999173705471906,0.9991764215159024,0.9991746965847318,0.999173705471906,0.0028421694764862
round1,Round 1: per-pcap stats + session split,ande_no_se,4096,behavior14,42,0.9908189496878445,0.9909219637442293,0.9907724028409016,0.9908189496878445,0.0007664034975412
round1,Round 1: per-pcap stats + session split,ande_no_se,4096,binary2,42,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.0062920548654244
round1,Round 1: per-pcap stats + session split,ande_no_se,784,behavior14,42,0.9905435181784796,0.9905406675385608,0.9904657354317442,0.9905435181784796,0.000762294199078
round1,Round 1: per-pcap stats + session split,ande_no_se,784,binary2,42,0.999173705471906,0.9991724423827584,0.9991720416082868,0.999173705471906,0.0060494306418219
round1,Round 1: per-pcap stats + session split,ande_no_se,8100,behavior14,42,0.9916452442159382,0.99178646501844,0.9916269417786688,0.9916452442159382,0.0006747332383686
round1,Round 1: per-pcap stats + session split,ande_no_se,8100,binary2,42,0.999173705471906,0.9991724533392,0.9991727089642533,0.999173705471906,0.005247615350488
